Team Name,Against Team,Date,Home Team,Away Team,FT,HT,HTFT,ATFT,HTHT,ATHT,Result,Half-Time Result,Half-Time leading team Win?,MainTeamW_L,MainTeamW_LBin,HTWL,ATWL,HTWS,ATWS,HTBS,ATBS,HTTR,ATTR,Grouped Team Rating,Against Team Rating,Home Team Rating,Away Team Rating,MatchFixtureRating
Ipswich,Charlton,11-11-2000,Ipswich,Charlton,2-0,0-0,2,0,0,0,Ipswich,Draw,Draw,W,2,W,L,3,0,2,0,5,0,3.63158,3.31955,3.31579,3.11278,5
Leicester,Newcastle,11-11-2000,Leicester,Newcastle,1-1,0-0,1,1,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.27132,3.47167,3.45736,3.16000,0
Man City,West Ham,11-11-2000,West Ham,Man City,4-1,0-1,4,1,0,1,West Ham,Man City,No,L,0,W,L,3,0,3,0,6,0,5.22763,3.20641,3.37500,5.09748,-6
Man United,Middlesbrough,11-11-2000,Man United,Middlesbrough,2-1,0-1,2,1,0,1,Man United,Middlesbrough,No,W,2,W,L,3,0,1,0,4,0,6.81657,3.09211,6.56509,2.78947,4
Middlesbrough,Man United,11-11-2000,Man United,Middlesbrough,2-1,0-1,2,1,0,1,Man United,Middlesbrough,No,L,0,W,L,3,0,1,0,4,0,3.09211,6.81657,6.56509,2.78947,-4
Newcastle,Leicester,11-11-2000,Leicester,Newcastle,1-1,0-0,1,1,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.47167,3.27132,3.45736,3.16000,0
Southampton,Sunderland,11-11-2000,Sunderland,Southampton,2-2,1-1,2,2,1,1,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.30000,2.46805,2.57895,3.13725,0
Sunderland,Southampton,11-11-2000,Sunderland,Southampton,2-2,1-1,2,2,1,1,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,2.46805,3.30000,2.57895,3.13725,0
Tottenham,Aston Villa,11-11-2000,Aston Villa,Tottenham,2-0,1-0,2,0,1,0,Aston Villa,Aston Villa,Yes,L,0,W,L,3,0,7,0,10,0,4.57396,3.27303,3.15132,4.36391,-10
West Ham,Man City,11-11-2000,West Ham,Man City,4-1,0-1,4,1,0,1,West Ham,Man City,No,W,2,W,L,3,0,3,0,6,0,3.20641,5.22763,3.37500,5.09748,6
Chelsea,Leeds,12-11-2000,Chelsea,Leeds,1-1,0-0,1,1,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,6.53550,4.25658,6.07692,4.98684,0
Coventry,Liverpool,12-11-2000,Liverpool,Coventry,4-1,1-0,4,1,1,0,Liverpool,Liverpool,Yes,L,0,W,L,3,0,8,0,11,0,2.60526,5.61095,5.39349,2.89474,-11
Leeds,Chelsea,12-11-2000,Chelsea,Leeds,1-1,0-0,1,1,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,4.25658,6.53550,6.07692,4.98684,0
Liverpool,Coventry,12-11-2000,Liverpool,Coventry,4-1,1-0,4,1,1,0,Liverpool,Liverpool,Yes,W,2,W,L,3,0,8,0,11,0,5.61095,2.60526,5.39349,2.89474,11
Arsenal,Everton,18-11-2000,Everton,Arsenal,2-0,0-0,2,0,0,0,Everton,Draw,Draw,L,0,W,L,3,0,2,0,5,0,6.11391,3.77663,4.08876,6.36982,-5
Aston Villa,Southampton,18-11-2000,Southampton,Aston Villa,2-0,2-0,2,0,2,0,Southampton,Southampton,Yes,L,0,W,L,3,0,7,0,10,0,3.27303,3.30000,3.46117,3.39474,-10
Bradford,Derby,18-11-2000,Derby,Bradford,2-0,0-0,2,0,0,0,Derby,Draw,Draw,L,0,W,L,3,0,2,0,5,0,1.42105,1.83333,2.29825,0.94737,-5
Charlton,Chelsea,18-11-2000,Charlton,Chelsea,2-0,1-0,2,0,1,0,Charlton,Charlton,Yes,W,2,W,L,3,0,7,0,10,0,3.31955,6.53550,3.52632,6.99408,10
Chelsea,Charlton,18-11-2000,Charlton,Chelsea,2-0,1-0,2,0,1,0,Charlton,Charlton,Yes,L,0,W,L,3,0,7,0,10,0,6.53550,3.31955,3.52632,6.99408,-10
Derby,Bradford,18-11-2000,Derby,Bradford,2-0,0-0,2,0,0,0,Derby,Draw,Draw,W,2,W,L,3,0,2,0,5,0,1.83333,1.42105,2.29825,0.94737,5
Everton,Arsenal,18-11-2000,Everton,Arsenal,2-0,0-0,2,0,0,0,Everton,Draw,Draw,W,2,W,L,3,0,2,0,5,0,3.77663,6.11391,4.08876,6.36982,5
Leeds,West Ham,18-11-2000,Leeds,West Ham,0-1,0-1,0,1,0,1,West Ham,West Ham,Yes,L,0,L,W,0,8,0,6,0,14,4.25658,3.20641,3.52632,3.03901,-14
Leicester,Middlesbrough,18-11-2000,Middlesbrough,Leicester,0-3,0-2,0,3,0,2,Leicester,Leicester,Yes,W,2,L,W,0,8,0,8,0,16,3.27132,3.09211,3.39474,3.08527,16
